"","L1","L2","L3","L4","L5","L6","L7","L8"
"1",4,3,4,2,4,4,1,80
"2",4,1,5,4,4,4,1,95
"3",2,4,2,5,2,5,1,40
"4",4,2,4,5,4,5,4,60
"5",4,2,4,5,4,5,1,82
"6",3,4,2,2,3,4,1,75
"7",4,2,2,2,4,2,1,95
"8",4,5,4,3,2,3,2,90
"9",2,2,3,4,2,3,1,65
"10",3,2,2,4,4,4,1,80
"11",5,4,2,4,2,5,1,75
"12",4,1,2,4,3,4,5,80
"13",1,5,2,1,4,4,1,75
"14",2,2,2,4,2,4,1,60
"15",5,4,4,1,1,5,1,90
"16",4,5,2,3,1,4,1,95
"17",5,5,2,1,2,4,1,98
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",5,1,5,4,4,5,1,95
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21",2,2,3,2,4,3,1,93
"22",3,2,4,2,2,4,1,60
"23",4,4,3,2,2,4,1,65
